Germplasm Name,Germplasm GID,Test (T) or Check (C),Exp Title ,Exp Description,Exp Unit,Exp Type,Env,Env Location,Env Year,Exp Unit ID,Exp Replicate #,Exp Block #,Row,Column,Lat,Long,Elevation,RTK,Treatment Factors,ObsUnitID
Germplas127,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 15,New Location DRP6,2001,9390,1,2,4,5,,,,,Jam application,
Germplas128,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 16,New Location DRP6,2001,9391,1,2,4,5,,,,,Jam application,
Germplas129,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 17,New Location DRP6,2001,9392,1,2,4,5,,,,,Jam application,
Germplas130,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 18,New Location DRP6,2001,9393,1,2,4,5,,,,,Jam application,
Germplas131,5,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 15,New Location DRP6,2001,9394,1,2,4,5,,,,,Jam application,
Germplas132,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 16,New Location DRP6,2001,9395,1,2,4,5,,,,,Jam application,
Germplas133,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 17,New Location DRP6,2001,9396,1,2,4,5,,,,,Jam application,
Germplas134,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 18,New Location DRP6,2001,9397,1,2,4,5,,,,,Jam application,
Germplas135,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 19,New Location DRP14,2001,9398,1,2,4,5,,,,,Jam application,
Germplas136,10,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 20,New Location DRP15,2001,9399,1,2,4,5,,,,,Jam application,
Germplas137,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 21,New Location DRP16,2001,9400,1,2,4,5,,,,,Jam application,
Germplas138,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 22,New Location DRP17,2001,9401,1,2,4,5,,,,,Jam application,
Germplas139,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 23,New Location DRP18,2001,9402,1,2,4,5,,,,,Jam application,
Germplas140,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 24,New Location DRP19,2001,9403,1,2,4,5,,,,,Jam application,
Germplas141,5,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 25,New Location DRP20,2001,9404,1,2,4,5,,,,,Jam application,
Germplas142,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 26,New Location DRP21,2001,9405,1,2,4,5,,,,,Jam application,
Germplas143,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 27,New Location DRP22,2001,9406,1,2,4,5,,,,,Jam application,
Germplas144,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 28,New Location DRP23,2001,9407,1,2,4,5,,,,,Jam application,
Germplas145,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 29,New Location DRP24,2001,9408,1,2,4,5,,,,,Jam application,
Germplas146,10,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 30,New Location DRP25,2001,9409,1,2,4,5,,,,,Jam application,
Germplas147,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 31,New Location DRP26,2001,9410,1,2,4,5,,,,,Jam application,
Germplas148,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 32,New Location DRP27,2001,9411,1,2,4,5,,,,,Jam application,
Germplas149,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 33,New Location DRP28,2001,9412,1,2,4,5,,,,,Jam application,
Germplas150,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 34,New Location DRP29,2001,9413,1,2,4,5,,,,,Jam application,
Germplas151,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 35,New Location DRP30,2001,9414,1,2,4,5,,,,,Jam application,
Germplas152,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 36,New Location DRP31,2001,9415,1,2,4,5,,,,,Jam application,
